Planet Name,disc_year,semi major axis (au),pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,planet radius (earth radius),pl_radeerr1,pl_radeerr2,pl_radelim,planet mass (earth mass),pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,radius of star (solar radius),st_raderr1,st_raderr2,st_radlim,mass of star (solar masses),st_masserr1,st_masserr2,st_masslim,metallicity = log(k)*metallicity of sun,st_meterr1,st_meterr2,st_metlim,rowupdate
Wolf 327 b,2024,0.01,0.0004,-0.0004,0,1.24,0.06,-0.06,0,2.53,0.46,-0.46,0,7.24,1.66,-1.66,0,0.41,0.01,-0.01,0,0.41,0.02,-0.02,0,-0.17,0.04,-0.04,0,05-02-2024
TOI-238 b,2024,0.02118,0.00038,-0.00038,0,1.402,0.086,-0.086,0,3.4,0.46,-0.46,0,6.8,1.6,-1.6,0,0.73,0.01,-0.01,0,0.79,0.02,-0.02,0,-0.114,0.051,-0.051,0,16-02-2024
TOI-2120 b,2024,0.0377,0.0013,-0.0013,0,2.122,0.065,-0.065,0,6.8,,,1,20.6,1.7,-1.5,0,0.24,0.01,-0.01,0,0.21,0.01,-0.01,0,0.39,0.22,-0.22,0,10-06-2024
NGTS-27 b,2024,0.0446,0.0026,-0.0036,0,15.648,0.426,-0.392,0,188.47225,30.1937,-22.88365,0,0.266,0.059,-0.059,0,1.77,0.03,-0.03,0,1.07,0.06,-0.06,0,0,0.08,-0.08,0,10-06-2024
NGTS-26 b,2024,0.049,0.0038,-0.0032,0,14.886,0.661,-0.538,0,92.80589,20.65885,-19.0697,0,0.153,0.041,-0.036,0,1.16,0.05,-0.02,0,0.96,0.04,-0.03,0,0.2,0.1,-0.1,0,10-06-2024
TOI-1199 b,2024,0.04988,0.00091,-0.00091,0,10.514,0.28,-0.28,0,75.96099,6.35657,-6.35657,0,0.358,0.041,-0.041,0,1.45,0.03,-0.03,0,1.23,0.07,-0.07,0,0.44,0.04,-0.04,0,05-03-2024
TOI-4438 b,2024,0.0534,0.0037,-0.0037,0,2.52,0.13,-0.13,0,5.4,1.1,-1.1,0,1.85,0.51,-0.44,0,0.37,0.02,-0.02,0,0.37,0.02,-0.02,0,-0.19,0.05,-0.05,0,25-03-2024
TOI-1273 b,2024,0.0549,0.001,-0.001,0,11.097,2.466,-2.466,0,70.55791,4.76743,-4.76743,0,0.28,0.11,-0.11,0,1.06,0.02,-0.02,0,1.06,0.06,-0.06,0,0.07,0.04,-0.04,0,05-03-2024
TOI-1448 b,2024,0.0567,0.0015,-0.0015,0,2.749,0.067,-0.063,0,19.5,,,1,9.51,0.55,-0.55,0,0.38,0.01,-0.01,0,0.37,0.01,-0.01,0,0.37,0.14,-0.14,0,10-06-2024
TOI-782 b,2024,0.0578,0.0018,-0.0018,0,2.734,0.085,-0.085,0,19.1,,,1,7.99,0.54,-0.54,0,0.41,0.01,-0.01,0,0.4,0.01,-0.01,0,0.34,0.15,-0.15,0,10-06-2024
TOI-1994 b,2024,0.0613,0.0019,-0.0019,0,13.675,0.919,-0.796,0,7024.00779,826.35386,-794.57102,0,15,3.9,-3.2,0,2.3,0.13,-0.12,0,1.86,0.18,-0.17,0,-0.01,0.3,-0.42,0,10-03-2024
Gliese 12 b,2024,0.067,0.0005,-0.0006,0,0.9,0.1,-0.09,0,10,,,1,17.7,1.4,-1.4,0,0.27,0.01,-0.01,0,0.24,0.01,-0.01,0,-0.29,0.09,-0.09,0,21-05-2024
HD 77946 b,2024,0.072,0.0012,-0.0012,0,2.705,0.086,-0.081,0,8.38,1.32,-1.32,0,2.48113,0.46866,-0.4466,0,1.31,0.01,-0.01,0,1.17,0.06,-0.05,0,0.18,0.05,-0.05,0,25-03-2024
TOI-238 c,2024,0.0749,0.0013,-0.0013,0,2.18,0.18,-0.18,0,6.7,1.1,-1.1,0,1.83,0.66,-0.66,0,0.73,0.01,-0.01,0,0.79,0.02,-0.02,0,-0.114,0.051,-0.051,0,16-02-2024
TOI-1135 b,2024,0.082,0.003,-0.003,0,9.02,0.227,-0.227,0,51.42,,,1,0.41,,,1,1.16,0.03,-0.03,0,1.12,0.03,-0.03,0,0,0.02,-0.02,0,05-03-2024
TOI-815 b,2024,0.0903,0.0018,-0.0019,0,2.94,0.05,-0.05,0,7.6,1.5,-1.4,0,1.64,0.33,-0.31,0,0.77,0.01,-0.01,0,0.78,0.04,-0.04,0,-0.09,0.05,-0.05,0,13-05-2024
TOI-4515 b,2024,0.118,0.001,-0.001,0,12.17,0.43,-0.43,0,637,17,-17,0,1.941,0.214,-0.214,0,0.86,0.03,-0.03,0,0.95,0.02,-0.02,0,0.05,0.03,-0.03,0,10-03-2024
TIC 393818343 b,2024,0.1291,0.0021,-0.0022,0,12.184,0.258,-0.235,0,1379.37529,47.67426,-47.67426,0,4.22,0.16,-0.24,0,1.09,0.02,-0.02,0,1.08,0.06,-0.06,0,0.318,0.058,-0.058,0,09-06-2024
HD 73344 b,2024,0.131,0.0003,-0.0002,0,2.884,0.082,-0.072,0,10.48,,,1,2.451,,,1,1.22,0.04,-0.04,0,1.2,0.02,-0.02,0,0.143,0.027,-0.015,0,10-06-2024
TIC 139270665 b,2024,0.163,0.0027,-0.0033,0,7.23,0.269,-0.247,0,147.15455,14.62011,-14.62011,0,2.13,0.32,-0.29,0,1.02,0.04,-0.03,0,1.03,0.05,-0.06,0,0.156,0.057,-0.056,0,08-05-2024
TOI-1386 b,2024,0.1732,0.0027,-0.0033,0,6.053,0.202,-0.179,0,47.0386,6.03874,-5.72091,0,1.16,0.19,-0.18,0,1.01,0.03,-0.03,0,1.04,0.05,-0.06,0,0.164,0.056,-0.056,0,16-02-2024
TOI-815 c,2024,0.193,0.004,-0.004,0,2.62,0.1,-0.09,0,23.5,2.4,-2.4,0,7.2,1.1,-1,0,0.77,0.01,-0.01,0,0.78,0.04,-0.04,0,-0.09,0.05,-0.05,0,13-05-2024
TOI-1751 b,2024,0.2116,0.0023,-0.0023,0,2.77,0.15,-0.07,0,14.5,3.15,-3.14,0,3.6,0.9,-0.9,0,1.2,0.06,-0.03,0,0.9,0.03,-0.03,0,-0.4,0.06,-0.06,0,16-02-2024
GJ 806 b,2023,0.01406,0.0003,-0.0003,0,1.331,0.023,-0.023,0,1.9,0.17,-0.17,0,4.4,0.45,-0.45,0,0.41,0,0,0,0.41,0.01,-0.01,0,-0.28,0.07,-0.07,0,28-11-2023
TOI-332 b,2023,0.0159,0.0001,-0.0001,0,3.2,0.16,-0.11,0,57.2,1.6,-1.6,0,9.6,1.1,-1.3,0,0.87,0.03,-0.02,0,0.88,0.02,-0.02,0,0.256,0.048,-0.048,0,05-09-2023
TOI-4860 b,2023,0.01808,0.00015,-0.00015,0,8.7,0.4,-0.4,0,86.7,1.9,-1.9,0,0.75,0.09,-0.09,0,0.36,0.01,-0.01,0,0.34,0.01,-0.01,0,0.27,0.12,-0.12,0,04-03-2024
TOI-4860 b,2023,0.01845,0.00059,-0.00059,0,8.474,0.269,-0.269,0,212.94503,44.49598,-44.49598,0,1.92,0.5,-0.44,0,0.35,0.01,-0.01,0,0.34,0.01,-0.01,0,0.3,0.13,-0.13,0,22-08-2023
TOI-1416 b,2023,0.019,0.0003,-0.0003,0,1.62,0.08,-0.08,0,3.48,0.47,-0.47,0,4.5,0.99,-0.83,0,0.79,0.04,-0.03,0,0.8,0.04,-0.04,0,0.08,0.05,-0.05,0,12-06-2023
TOI-1937 A b,2023,0.01932,0.00035,-0.00039,0,13.978,0.661,-0.695,0,638.8351,54.03083,-50.85255,0,1.28,0.21,-0.17,0,1.08,0.03,-0.02,0,1.07,0.06,-0.06,0,0.196,0.084,-0.084,0,27-02-2023
TOI-5205 b,2023,0.0199,0.0002,-0.0002,0,11.6,0.3,-0.3,0,343,18,-17,0,1.21,0.11,-0.11,0,0.39,0.01,-0.01,0,0.39,0.01,-0.01,0,0,,,0,15-03-2023
TOI-1853 b,2023,0.0213,0.0005,-0.0005,0,3.46,0.08,-0.08,0,73.2,2.7,-2.7,0,9.74,0.82,-0.76,0,0.81,0.01,-0.01,0,0.84,0.04,-0.04,0,0.11,0.08,-0.08,0,19-09-2023
TOI-4010 b,2023,0.0229,0.0002,-0.0002,0,3.02,0.08,-0.08,0,11,1.29,-1.27,0,2.2,0.3,-0.3,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.37,0.07,-0.07,0,27-06-2023
TOI-3235 b,2023,0.02709,0.00046,-0.00046,0,11.4,0.493,-0.493,0,211.35589,7.94571,-7.94571,0,0.78,0.11,-0.11,0,0.37,0.02,-0.02,0,0.39,0.02,-0.02,0,0.264,0.1,-0.1,0,25-02-2023
TOI-1470 b,2023,0.0285,0.0004,-0.0004,0,2.18,0.04,-0.04,0,7.32,1.21,-1.24,0,3.86,0.7,-0.68,0,0.47,0,0,0,0.47,0.01,-0.01,0,0,0.03,-0.03,0,07-08-2023
TOI-2015 b,2023,0.0301,0.0013,-0.0012,0,3.39,0.14,-0.13,0,16.4,4.1,-4.1,0,2.32,0.38,-0.37,0,0.33,0.01,-0.01,0,0.34,0.02,-0.03,0,0.05,0.14,-0.14,0,28-05-2024
TOI-2803 A b,2023,0.03185,0.00052,-0.00052,0,18.114,0.381,-0.359,0,309.8827,26.37976,-22.24799,0,0.287,0.026,-0.023,0,1.25,0.02,-0.02,0,1.12,0.06,-0.05,0,-0.105,0.068,-0.072,0,27-02-2023
TOI-2977 b,2023,0.03386,0.00067,-0.0005,0,13.159,0.347,-0.303,0,533.95172,82.63539,-79.4571,0,1.28,0.21,-0.2,0,1.07,0.02,-0.02,0,0.94,0.06,-0.04,0,0.013,0.087,-0.085,0,27-02-2023
TOI-5293 A b,2023,0.034,0.004,-0.003,0,11.9,0.4,-0.4,0,170.4,21.8,-21.9,0,0.56,0.09,-0.09,0,0.52,0.02,-0.01,0,0.54,0.02,-0.02,0,-0.03,0.12,-0.12,0,21-07-2023
TOI-1194 b,2023,0.03428,0.00055,-0.00055,0,8.597,0.504,-0.46,0,144.92975,17.48056,-16.20925,0,1.25,0.26,-0.21,0,0.96,0.06,-0.05,0,1.01,0.05,-0.05,0,0.29,0.078,-0.078,0,06-11-2023
TOI-784 b,2023,0.038,0.001,-0.001,0,1.93,0.11,-0.09,0,9.67,0.83,-0.82,0,7.4,1.4,-1.2,0,0.91,0.02,-0.02,0,0.91,0.1,-0.1,0,-0.13,0.08,-0.08,0,10-07-2023
TOI-4201 b,2023,0.03924,0.00069,-0.00069,0,12.666,0.269,-0.269,0,816.81901,47.67426,-47.67426,0,2.21,0.13,-0.13,0,0.62,0.01,-0.01,0,0.63,0.03,-0.03,0,0.433,0.085,-0.085,0,07-11-2023
TOI-4201 b,2023,0.03944,0.00039,-0.0004,0,12.69,0.33,-0.33,0,825,20,-19,0,2.22,0.18,-0.16,0,0.62,0.02,-0.02,0,0.63,0.02,-0.02,0,0.3,0.15,-0.15,0,10-03-2024
TOI-4201 b,2023,0.04,0.001,-0.001,0,13.675,0.448,-0.448,0,788.21445,28.60456,-28.60456,0,1.82,0.19,-0.19,0,0.63,0.02,-0.02,0,0.61,0.02,-0.02,0,0.52,0.08,-0.08,0,19-09-2023
TOI-5344 b,2023,0.04,0.0005,-0.0005,0,9.7,0.5,-0.5,0,135,17,-18,0,0.8,0.17,-0.15,0,0.56,0.02,-0.02,0,0.59,0.02,-0.03,0,0.48,0.12,-0.12,0,17-02-2024
TOI-4463 A b,2023,0.04036,0.00074,-0.00082,0,13.26,0.717,-0.504,0,252.35576,12.39531,-12.71314,0,0.595,0.08,-0.096,0,1.06,0.03,-0.02,0,1.06,0.06,-0.06,0,0.25,0.085,-0.085,0,27-02-2023
TOI-5344 b,2023,0.04041,0.00075,-0.00075,0,10.604,0.235,-0.235,0,130.9453,12.71314,-12.71314,0,0.604,0.063,-0.063,0,0.59,0.01,-0.01,0,0.61,0.03,-0.03,0,0.425,0.088,-0.088,0,07-11-2023
TOI-3984 A b,2023,0.041,0.002,-0.001,0,7.9,0.24,-0.24,0,44,8.7,-8,0,0.49,0.11,-0.1,0,0.47,0.01,-0.01,0,0.49,0.02,-0.02,0,0.18,0.12,-0.12,0,21-07-2023
TOI-908 b,2023,0.041657,0.000002,-0.000002,0,3.186,0.155,-0.155,0,16.137,4.112,-4.039,0,2.742,0.241,-0.353,0,1.03,0.03,-0.03,0,0.95,0.01,-0.01,0,0.08,0.04,-0.04,0,10-07-2023
TOI-3807 b,2023,0.0421,0.0007,-0.0011,0,18.495,,,-1,330.54154,47.67426,-44.49598,0,0.289,,,1,1.47,0.04,-0.04,0,1.18,0.06,-0.09,0,0.278,0.084,-0.081,0,27-02-2023
TOI-836 b,2023,0.0422,0.00093,-0.00093,0,1.704,0.067,-0.067,0,4.53,0.92,-0.86,0,5.02,0.36,-0.44,0,0.67,0.01,-0.01,0,0.68,0.05,-0.04,0,-0.284,0.067,-0.067,0,25-02-2023
TOI-2000 b,2023,0.04271,0.00076,-0.00067,0,2.7,0.15,-0.15,0,11,2.4,-2.4,0,3.07,0.94,-0.78,0,1.13,0.04,-0.04,0,1.08,0.06,-0.05,0,0.439,0.041,-0.043,0,27-06-2023
TOI-3785 b,2023,0.043,0.001,-0.001,0,5.14,0.16,-0.16,0,14.95,4.1,-3.92,0,0.61,0.18,-0.17,0,0.5,0.01,-0.01,0,0.52,0.02,-0.02,0,0.099,0.117,-0.117,0,21-07-2023
HIP 29442 c,2023,0.0436,0.0006,-0.0007,0,1.58,0.1,-0.11,0,4.5,0.3,-0.3,0,6.3,1.7,-1.3,0,0.98,0.03,-0.03,0,0.89,0.04,-0.04,0,0.24,0.05,-0.05,0,05-09-2023
TOI-1811 b,2023,0.04389,0.00058,-0.00055,0,11.142,0.28,-0.258,0,308.92921,24.15496,-24.79062,0,1.23,0.13,-0.12,0,0.77,0.02,-0.02,0,0.82,0.03,-0.03,0,0.306,0.076,-0.077,0,15-03-2023
TOI-858 B b,2023,0.04435,0.001,-0.00098,0,14.067,0.437,-0.437,0,349.61125,25.42627,-22.24799,0,0.69,0.087,-0.073,0,1.31,0.04,-0.04,0,1.08,0.08,-0.07,0,0.153,0.091,-0.091,0,09-10-2023
TOI-4087 b,2023,0.04469,0.00048,-0.00054,0,13.047,0.28,-0.269,0,232.01474,44.49598,-44.49598,0,0.57,0.12,-0.12,0,1.11,0.02,-0.02,0,1.18,0.04,-0.04,0,0.237,0.079,-0.079,0,27-02-2023
TOI-3688 A b,2023,0.0456,0.00089,-0.00098,0,13.081,0.538,-0.493,0,311.47184,31.78284,-34.96112,0,0.76,0.13,-0.12,0,1.3,0.04,-0.04,0,1.2,0.07,-0.08,0,0.262,0.085,-0.086,0,27-02-2023
TOI-3819 b,2023,0.04611,0.00069,-0.00096,0,13.137,0.404,-0.392,0,352.78953,57.20911,-63.56568,0,0.85,0.17,-0.17,0,1.54,0.04,-0.04,0,1.24,0.06,-0.08,0,0.273,0.084,-0.082,0,27-02-2023
TOI-3912 b,2023,0.0463,0.0012,-0.001,0,14.28,0.46,-0.448,0,129.03833,22.56582,-21.61233,0,0.243,0.053,-0.047,0,1.39,0.04,-0.03,0,1.09,0.09,-0.07,0,0.187,0.087,-0.09,0,27-02-2023
TOI-2842 b,2023,0.0475,0.001,-0.0011,0,12.845,0.572,-0.538,0,117.59651,16.52708,-14.93794,0,0.304,0.065,-0.056,0,1.26,0.04,-0.04,0,1.14,0.08,-0.08,0,0.233,0.087,-0.09,0,27-02-2023
TOI-4145 A b,2023,0.04823,0.00075,-0.00079,0,13.305,0.359,-0.347,0,136.66622,41.31769,-41.31769,0,0.32,0.1,-0.1,0,0.86,0.02,-0.02,0,0.91,0.04,-0.04,0,0.168,0.084,-0.087,0,27-02-2023
TOI-2364 b,2023,0.04871,0.00069,-0.00079,0,8.608,0.258,-0.202,0,71.51139,13.66662,-15.57359,0,0.61,0.13,-0.14,0,0.89,0.02,-0.02,0,0.95,0.04,-0.05,0,0.344,0.085,-0.085,0,27-02-2023
TOI-2498 b,2023,0.0491,0.003,-0.003,0,6.06,0.29,-0.27,0,34.62,4.1,-4.09,0,0.86,0.25,-0.2,0,1.26,0.04,-0.04,0,1.12,0.02,-0.02,0,0.167,0.01,-0.041,0,26-05-2023
TOI-2818 b,2023,0.0493,0.001,-0.0008,0,15.278,0.516,-0.504,0,225.65817,82.63539,-82.63539,0,0.34,0.14,-0.13,0,1.23,0.03,-0.03,0,0.98,0.06,-0.05,0,-0.02,0.11,-0.09,0,27-02-2023
TOI-3023 b,2023,0.0505,0.0015,-0.0009,0,16.432,0.482,-0.359,0,197.05361,31.78284,-28.60456,0,0.245,0.039,-0.038,0,1.67,0.05,-0.03,0,1.12,0.11,-0.06,0,0.085,0.084,-0.083,0,27-02-2023
TOI-2152 A b,2023,0.05064,0.00093,-0.0011,0,14.359,0.56,-0.516,0,899.45439,120.77479,-117.59651,0,1.67,0.31,-0.29,0,1.61,0.06,-0.05,0,1.52,0.09,-0.1,0,0.282,0.075,-0.079,0,15-03-2023
TOI-2154 b,2023,0.0513,0.0011,-0.0013,0,16.287,0.594,-0.538,0,292.40213,60.3874,-57.20911,0,0.37,0.092,-0.081,0,1.4,0.05,-0.04,0,1.23,0.08,-0.09,0,0.011,0.071,-0.059,0,15-03-2023
TOI-181 b,2023,0.0539,0.0043,-0.0036,0,6.956,0.087,-0.101,0,46.1687,2.71,-7.83,0,0.7562,0.015,-0.1,0,0.74,0.02,-0.02,0,0.82,0.04,-0.04,0,0.272,0.08,-0.08,0,15-03-2023
TOI-4791 b,2023,0.0555,0.0011,-0.0012,0,12.442,0.56,-0.56,0,734.18362,101.70509,-104.88337,0,2.09,0.46,-0.4,0,1.41,0.04,-0.04,0,1.24,0.07,-0.08,0,0.207,0.085,-0.089,0,27-02-2023
TOI-244 b,2023,0.0559,0.0013,-0.0013,0,1.52,0.12,-0.12,0,2.68,0.3,-0.3,0,4.2,1.1,-1.1,0,0.43,0.03,-0.03,0,0.43,0.03,-0.03,0,-0.39,0.07,-0.07,0,09-10-2023
TOI-2796 b,2023,0.0569,0.001,-0.0011,0,17.262,,,-1,139.8445,31.78284,-34.96112,0,0.15,,,1,1.07,0.02,-0.02,0,1.06,0.06,-0.06,0,0.239,0.076,-0.079,0,27-02-2023
TOI-5398 c,2023,0.057,0.003,-0.003,0,3.52,0.19,-0.19,0,11.8,4.8,-4.7,0,1.5,0.68,-0.68,0,1.05,0.01,-0.01,0,1.15,0.01,-0.01,0,0.09,0.06,-0.06,0,06-11-2023
TOI-2583 A b,2023,0.0571,0.001,-0.0013,0,14.46,0.448,-0.37,0,79.4571,18.43405,-17.79839,0,0.144,0.037,-0.035,0,1.48,0.04,-0.03,0,1.22,0.06,-0.08,0,0.158,0.084,-0.085,0,27-02-2023
TOI-4377 b,2023,0.0579,0.001,-0.0011,0,15.11,0.908,-0.908,0,304.16179,28.28673,-27.65107,0,0.881,0.098,-0.095,0,3.52,0.15,-0.14,0,1.36,0.08,-0.07,0,0.205,0.038,-0.038,0,28-11-2023
TOI-4010 c,2023,0.058,0.001,-0.001,0,5.93,0.11,-0.12,0,20.31,2.13,-2.11,0,0.5,0.1,-0.1,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.37,0.07,-0.07,0,27-06-2023
TOI-778 b,2023,0.06,0.003,-0.003,0,15.4,0.5,-0.5,0,878,77,-72,0,1.3,0.2,-0.2,0,1.71,0.05,-0.05,0,1.4,0.05,-0.05,0,0,0.08,-0.08,0,03-05-2023
TOI-2641 b,2023,0.0607,0.0042,-0.0043,0,18.103,5.179,-7.174,0,122.68177,6.99222,-11.44182,0,0.092,0.078,-0.109,0,1.34,0.06,-0.06,0,1.16,0.07,-0.07,0,-0.15,0.08,-0.08,0,25-07-2023
TOI-733 b,2023,0.0618,0.0036,-0.0039,0,1.992,0.085,-0.09,0,5.72,0.7,-0.68,0,3.98,0.77,-0.66,0,0.95,0.01,-0.01,0,0.96,0.05,-0.03,0,-0.04,0.05,-0.05,0,17-04-2023
HD 207496 b,2023,0.0629,0.0011,-0.0011,0,2.25,0.12,-0.1,0,6.1,1.6,-1.6,0,3.17,0.97,-0.91,0,0.77,0.03,-0.03,0,0.8,0.04,-0.04,0,0.095,0.038,-0.038,0,26-05-2023
TOI-2587 A b,2023,0.0635,0.0025,-0.0013,0,12.072,0.471,-0.448,0,69.28659,17.16273,-14.62011,0,0.216,0.064,-0.052,0,1.73,0.05,-0.05,0,1.15,0.14,-0.07,0,0.13,0.09,-0.1,0,27-02-2023
HIP 29442 d,2023,0.0649,0.0009,-0.001,0,1.37,0.11,-0.11,0,5.1,0.4,-0.4,0,11,3.4,-2.4,0,0.98,0.03,-0.03,0,0.89,0.04,-0.04,0,0.24,0.05,-0.05,0,05-09-2023
TOI-3364 b,2023,0.0675,0.0011,-0.0016,0,12.229,0.426,-0.359,0,530.77344,38.13941,-41.31769,0,1.6,0.19,-0.2,0,1.42,0.04,-0.03,0,1.19,0.06,-0.08,0,0.387,0.072,-0.081,0,27-02-2023
WASP-193 b,2023,0.0676,0.0015,-0.0015,0,16.41,0.661,-0.639,0,44.17815,9.21702,-9.21702,0,0.059,0.015,-0.013,0,1.24,0.03,-0.03,0,1.06,0.07,-0.07,0,-0.06,0.088,-0.088,0,26-07-2023
TOI-615 b,2023,0.0678,0.0031,-0.0026,0,18.977,0.583,-0.639,0,138.25536,27.33324,-26.06193,0,0.084,0.018,-0.018,0,1.73,0.06,-0.06,0,1.45,0.09,-0.09,0,-0.1,0.07,-0.07,0,26-07-2023
TOI-622 b,2023,0.0708,0.0052,-0.0059,0,9.236,0.314,-0.325,0,96.30201,21.93016,-22.88365,0,0.507,0.126,-0.126,0,1.42,0.05,-0.05,0,1.31,0.08,-0.08,0,0.09,0.07,-0.07,0,25-07-2023
TOI-1420 b,2023,0.071,0.0012,-0.0012,0,11.89,0.33,-0.33,0,25.1,3.8,-3.8,0,0.082,0.015,-0.015,0,0.92,0.02,-0.02,0,0.99,0.05,-0.05,0,0.28,0.074,-0.074,0,06-11-2023
TOI-2524 b,2023,0.073,0.0007,-0.0007,0,11.209,0.224,-0.336,0,203.41018,12.71314,-12.71314,0,0.79,0.08,-0.08,0,1.12,0.02,-0.02,0,1.01,0.03,-0.03,0,0.06,0.05,-0.05,0,14-12-2023
TOI-1736 b,2023,0.074,0.0009,-0.0009,0,2.44,0.18,-0.18,0,12.8,1.8,-1.8,0,4.9,1.3,-1.3,0,1.15,0.08,-0.08,0,1.08,0.04,-0.04,0,0.138,0.014,-0.014,0,28-11-2023
TOI-3976 A b,2023,0.0743,0.0013,-0.0014,0,12.274,0.404,-0.392,0,55.61997,11.75965,-11.44182,0,0.165,0.041,-0.037,0,1.5,0.04,-0.04,0,1.25,0.07,-0.07,0,0.182,0.078,-0.079,0,27-02-2023
TOI-836 c,2023,0.075,0.0016,-0.0016,0,2.587,0.088,-0.088,0,9.6,2.7,-2.5,0,3.06,0.48,-0.54,0,0.67,0.01,-0.01,0,0.68,0.05,-0.04,0,-0.284,0.067,-0.067,0,25-02-2023
TOI-2134 b,2023,0.078,0.0009,-0.0009,0,2.69,0.16,-0.16,0,9.13,0.78,-0.76,0,2.607,0.516,-0.516,0,0.71,0.02,-0.02,0,0.74,0.03,-0.03,0,0.12,0.02,-0.02,0,28-11-2023
TOI-2416 b,2023,0.0831,0.0007,-0.0007,0,9.864,0.224,-0.224,0,953.48522,31.78284,-28.60456,0,5.4,0.3,-0.3,0,1.24,0.02,-0.02,0,1.12,0.03,-0.03,0,0.32,0.05,-0.05,0,14-12-2023
TOI-2000 c,2023,0.0878,0.0016,-0.0014,0,8.14,0.31,-0.3,0,81.7,4.7,-4.6,0,0.829,0.111,-0.096,0,1.13,0.04,-0.04,0,1.08,0.06,-0.05,0,0.439,0.041,-0.043,0,27-06-2023
TOI-4603 b,2023,0.0888,0.001,-0.001,0,11.68,0.426,-0.392,0,4096.80817,184.34048,-181.16219,0,14.1,1.7,-1.6,0,2.74,0.05,-0.05,0,1.76,0.06,-0.06,0,0.342,0.039,-0.04,0,28-03-2023
TOI-1052 b,2023,0.09103,0.00062,-0.00063,0,2.87,0.29,-0.24,0,16.9,1.7,-1.7,0,3.93,1.7,-1.3,0,1.26,0.03,-0.03,0,1.2,0.03,-0.03,0,0.14,0.013,-0.013,0,10-08-2023
TOI-4551 b,2023,0.0994,0.003,-0.0032,0,11.859,1.233,-0.695,0,473.56433,41.31769,-41.31769,0,1.74,0.19,-0.18,0,3.55,0.18,-0.15,0,1.31,0.07,-0.18,0,0.23,0.06,-0.06,0,29-11-2023
TOI-1470 c,2023,0.106,0.001,-0.001,0,2.47,0.02,-0.02,0,7.24,2.87,-2.77,0,2.66,1.06,-1.02,0,0.47,0,0,0,0.47,0.01,-0.01,0,0,0.03,-0.03,0,07-08-2023
HIP 29442 b,2023,0.107,0.0016,-0.0016,0,3.48,0.07,-0.08,0,9.6,0.8,-0.8,0,1.3,0.2,-0.2,0,0.98,0.03,-0.03,0,0.89,0.04,-0.04,0,0.24,0.05,-0.05,0,05-09-2023
TOI-2145 b,2023,0.1108,0.0012,-0.0016,0,11.982,0.325,-0.314,0,1671.77742,120.77479,-117.59651,0,5.34,0.59,-0.54,0,2.75,0.07,-0.06,0,1.72,0.06,-0.07,0,0.247,0.074,-0.072,0,15-03-2023
TOI-2373 b,2023,0.112,0.001,-0.001,0,10.424,0.224,-0.224,0,2955.80419,63.56568,-63.56568,0,14.4,0.9,-1,0,1.1,0.02,-0.02,0,1.04,0.03,-0.03,0,0.3,0.05,-0.05,0,14-12-2023
TOI-4010 d,2023,0.113,0.001,-0.001,0,6.18,0.14,-0.15,0,38.15,3.27,-3.22,0,0.9,0.1,-0.1,0,0.83,0.01,-0.01,0,0.88,0.03,-0.03,0,0.37,0.07,-0.07,0,27-06-2023
TOI-2497 b,2023,0.1166,0.0018,-0.0018,0,11.142,0.616,-0.549,0,1531.93292,130.30965,-130.30965,0,6.1,1.2,-1.1,0,2.36,0.12,-0.11,0,1.86,0.09,-0.08,0,0.094,0.076,-0.072,0,15-03-2023
EPIC 229004835 b,2023,0.1237,0.0017,-0.0017,0,2.332,0.08,-0.094,0,10.4,1.6,-1.5,0,4.49,0.92,-0.81,0,1,0.01,-0.01,0,0.97,0.04,-0.04,0,-0.12,0.05,-0.05,0,03-05-2023
TOI-2141 b,2023,0.133,0.0009,-0.0009,0,3.05,0.23,-0.23,0,24,4,-4,0,4.6,1.3,-1.3,0,0.98,0.06,-0.06,0,0.94,0.02,-0.02,0,-0.12,0.013,-0.013,0,28-11-2023
TOI-2525 b,2023,0.1511,0.002,-0.002,0,8.676,0.112,-0.112,0,26.69759,1.58914,-1.58914,0,0.225,0.015,-0.014,0,0.79,0.03,-0.03,0,0.85,0.04,-0.04,0,0.14,0.05,-0.05,0,25-02-2023
TOI-2525 c,2023,0.249,0.004,-0.004,0,10.133,0.112,-0.112,0,208.81326,9.85268,-10.17051,0,1.11,0.07,-0.07,0,0.79,0.03,-0.03,0,0.85,0.04,-0.04,0,0.14,0.05,-0.05,0,25-02-2023
HD 22946 d,2023,0.2958,0.0044,-0.0042,0,2.607,0.06,-0.06,0,26.57,,,1,10.8,,,1,1.12,0.01,-0.01,0,1.1,0.04,-0.04,0,-0.08,0.04,-0.04,0,10-07-2023
TOI-4127 b,2023,0.3081,0.0055,-0.0058,0,12.285,0.437,-0.359,0,731.00534,34.96112,-34.96112,0,2.17,0.22,-0.24,0,1.29,0.05,-0.05,0,1.23,0.07,-0.07,0,0.14,0.12,-0.12,0,12-06-2023
